,Name,Appearances,Goals,Wins,Losses,Clean sheets,Goals Conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big Chances Created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Big chances missed,Freekicks scored,Goals per match,Penalties scored,Shooting accuracy %,Shots,Shots on target
0,Sergio Reguilón,34,0,17,10,10,41,62,52%,0,8,49,57,25,0,169,152,160,26,38,48,1,1,4,"1,429",42.03,5,81,28%,1,42,5,0,30,1,0,0,0,0,,,,,,,
1,Rhys Williams,9,0,7,1,3,6,6,67%,0,2,6,26,19,0,34,38,12,0,30,8,0,0,0,504,56.00,0,0,0%,1,19,0,0,4,0,0,0,0,0,,,,,,,
2,Emerson Royal,4,0,1,3,0,7,12,58%,0,1,6,20,10,0,16,26,20,2,4,7,0,0,0,132,33.00,0,7,29%,0,2,0,0,5,0,0,0,0,0,,,,,,,
3,Gary Cahill,394,28,172,135,103,491,484,75%,18,66,465,"2,935","1,203",10,"1,505","2,032","1,089",71,"1,226",600,2,8,11,"13,464",34.17,8,23,17%,6,895,41,3,278,6,10,13,4,5,,,,,,,
4,Mads Bech Sørensen,1,0,1,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,,,,,,,
5,Ajibola Alese,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,,,,,,,
6,Nuno Tavares,4,0,2,2,0,0,3,33%,0,0,0,4,4,0,2,11,7,1,4,1,0,0,0,24,6.00,0,2,0%,0,0,1,0,1,0,0,0,0,0,,,,,,,
7,Maximilian Kilman,29,0,12,10,7,19,45,58%,0,3,31,64,33,0,110,101,81,11,39,45,0,1,1,"1,200",41.38,1,1,0%,0,37,5,0,24,0,0,0,0,0,,,,,,,
8,Alex Cochrane,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,,,,,,,
9,Andrew Omobamidele,1,0,0,1,0,1,1,100%,0,0,0,5,2,0,5,2,3,0,0,2,0,0,0,51,51.00,0,0,0%,0,3,0,0,1,0,0,0,0,0,,,,,,,
10,Jake Vokins,2,0,0,1,0,3,2,100%,0,0,0,1,0,0,1,3,5,0,0,0,0,0,0,71,35.50,0,4,25%,0,3,0,0,2,1,0,0,0,0,,,,,,,
11,Harry Maguire,179,10,74,62,46,232,225,66%,3,33,294,784,497,0,"1,088","1,114",546,117,637,248,0,2,8,"9,774",54.60,9,37,16%,6,806,37,1,157,18,6,4,0,6,,,,,,,
12,Christoph Zimmermann,17,0,2,10,3,27,32,66%,1,1,19,87,52,0,79,73,44,5,27,22,0,0,1,661,38.88,0,0,0%,0,46,3,0,9,0,0,0,0,0,,,,,,,
13,Charlie Cresswell,1,0,0,1,0,2,1,0%,0,0,1,3,3,0,2,4,4,0,3,3,0,0,0,72,72.00,0,0,0%,0,3,0,0,1,1,0,0,0,0,,,,,,,
14,Ben Gibson,44,2,5,25,12,68,35,74%,3,5,66,265,135,1,159,141,113,17,75,76,0,0,1,"2,001",45.48,1,0,0%,0,170,5,0,21,1,1,1,0,0,,,,,,,
15,Ibrahima Konaté,1,0,1,0,1,0,2,50%,0,0,1,3,1,0,5,4,2,0,2,1,0,0,0,56,56.00,0,0,0%,0,3,0,0,1,0,0,0,0,0,,,,,,,
16,Frederik Alves,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,,,,,,,
17,Lewis Dunk,150,11,39,63,40,202,180,55%,4,22,215,664,372,5,959,697,433,22,430,236,5,2,5,"7,936",52.91,4,12,25%,6,700,26,3,100,3,7,4,0,2,,,,,,,
18,Maksim Paskotsi,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,,,,,,,
19,Eric García,19,0,14,4,3,19,14,57%,0,0,22,41,17,0,57,38,48,6,14,28,0,0,0,"1,067",56.16,0,1,100%,1,36,1,0,13,0,0,0,0,0,,,,,,,
20,Craig Dawson,209,17,63,89,48,281,276,73%,2,38,372,950,561,5,850,"1,139",789,40,691,399,3,1,2,"6,409",30.67,6,300,21%,5,480,35,1,200,13,13,3,1,6,,,,,,,
21,Ahmed El Mohamady,197,6,51,96,31,246,284,77%,0,20,263,364,179,5,972,"1,000",890,130,462,419,1,1,13,"7,098",36.03,20,955,21%,7,334,14,1,158,13,4,2,0,4,,,,,,,
22,Joseph Gomez,81,0,56,7,31,61,113,74%,1,4,103,193,89,0,431,350,270,41,159,126,0,0,3,"4,900",60.49,2,68,24%,2,234,15,0,63,1,0,0,0,0,,,,,,,
23,Joel Lopez Salguero,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,,,,,,,
24,Héctor Bellerín,183,8,99,47,59,189,242,76%,1,38,239,334,163,3,815,685,797,207,189,243,1,1,20,"8,141",44.49,32,434,17%,32,162,30,0,143,9,0,5,3,3,,,,,,,
25,Issa Diop,83,6,32,34,13,119,115,58%,1,2,133,377,191,2,375,342,216,14,179,107,2,2,1,"2,691",32.42,3,1,0%,0,119,15,0,57,5,5,1,0,0,,,,,,,
26,Marc Cucurella,4,0,2,0,1,2,14,57%,0,0,2,8,2,0,24,28,11,4,6,1,0,0,0,204,51.00,0,17,18%,3,6,1,0,4,0,0,0,0,0,,,,,,,
27,Timothy Castagne,32,2,15,11,6,41,67,58%,0,2,32,55,31,0,149,144,120,13,49,46,0,1,3,"1,490",46.56,4,52,19%,0,29,1,0,24,1,1,0,1,1,,,,,,,
28,Lyanco,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,,,,,,,
29,Harrison Ashby,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,,,,,,,
30,Patrick van Aanholt,213,20,63,103,44,313,385,68%,3,55,356,471,185,7,"1,262",739,631,194,80,101,2,2,15,"7,785",36.55,26,428,26%,14,320,21,0,105,30,0,4,16,5,,,,,,,
31,Ben Johnson,19,1,10,6,,,20,45%,,1,15,19,5,,42,43,43,6,13,13,,0,0,320,16.84,1,31,16%,0,14,1,0,14,0,0,1,0,0,0,0,0.05,0,25%,4,1
32,Sil Swinkels,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,,,,,,,
33,Paul Dummett,143,3,48,60,30,171,232,73%,1,10,193,677,386,1,431,652,394,24,344,230,2,2,0,"4,332",30.29,4,212,20%,1,261,14,1,67,1,1,0,2,1,,,,,,,
34,Neil Taylor,146,0,48,63,38,192,267,76%,1,14,241,350,133,1,616,494,455,46,94,142,1,0,5,"5,500",37.67,6,255,22%,5,214,22,0,122,3,0,0,0,0,,,,,,,
35,Tudor Baluta,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,,,,,,,
36,Kyle John,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,,,,,,,
37,Cody Drameh,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,,,,,,,
38,Wesley Hoedt,41,0,6,19,9,66,88,72%,3,3,63,248,119,0,281,242,158,30,94,77,2,2,1,"1,944",47.41,1,8,13%,1,199,9,0,37,0,0,0,0,2,,,,,,,
39,Emerson,33,0,14,14,4,36,46,61%,0,6,29,37,20,0,111,128,81,27,28,21,0,0,1,"1,343",40.70,3,99,19%,2,35,3,0,18,2,0,0,0,1,,,,,,,
40,Raphaël Varane,5,0,3,1,1,4,8,50%,0,0,3,18,13,0,23,22,9,1,12,6,0,0,1,345,69.00,1,0,0%,0,26,0,0,1,0,0,0,0,0,,,,,,,
41,João Cancelo,52,2,35,10,23,32,124,61%,0,17,78,53,32,0,302,311,276,95,64,66,0,0,4,"3,390",65.19,15,142,15%,14,126,10,1,59,2,0,1,1,2,,,,,,,
42,Ciaran Clark,206,15,50,99,32,316,336,73%,5,21,339,"1,374",638,5,808,999,684,54,499,352,1,4,5,"6,637",32.22,10,41,20%,2,417,51,2,189,3,12,0,3,3,,,,,,,
43,Jake Clarke-Salter,1,0,1,0,0,0,2,0%,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,6,6.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,,,,,,,
44,Matthew Lowton,213,3,59,103,47,324,482,65%,1,11,381,796,350,8,970,947,729,125,238,176,0,2,14,"6,898",32.38,27,534,18%,23,597,41,0,166,1,0,2,1,1,,,,,,,
45,Eric Dier,209,10,117,48,64,208,310,72%,2,36,285,674,396,1,884,950,795,56,508,372,0,6,8,"11,632",55.66,13,126,18%,18,772,36,0,179,6,4,5,1,3,,,,,,,
46,Conor Coady,121,1,47,43,34,143,110,64%,7,0,93,394,217,4,685,265,194,13,119,87,3,3,0,"5,716",47.24,2,0,0%,7,808,16,0,53,1,1,0,0,1,,,,,,,
47,Fabian Schär,66,7,23,32,13,85,114,57%,0,10,142,269,134,2,323,329,301,37,122,124,0,3,1,"2,427",36.77,1,36,11%,6,306,23,1,82,4,1,4,2,0,,,,,,,
48,Luke Mbete,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,,,,,,,
49,Akin Famewo,1,0,0,1,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,,,,,,,
50,Davide Zappacosta,26,1,17,4,4,15,26,42%,0,9,9,24,14,0,71,70,76,16,17,8,0,0,1,520,20.00,2,85,20%,0,8,0,0,9,5,0,0,1,1,,,,,,,
51,Florian Lejeune,42,2,13,22,9,55,66,56%,1,4,77,203,117,2,237,229,150,19,124,75,0,2,2,"1,831",43.60,2,14,7%,5,203,3,0,34,2,0,1,1,0,,,,,,,
52,Jannik Vestergaard,77,4,26,35,14,109,132,63%,1,8,107,412,237,0,371,464,263,23,274,147,0,1,0,"3,681",47.81,3,7,29%,3,221,9,1,48,1,4,0,0,2,,,,,,,
53,Diego Llorente,18,2,9,5,5,14,40,63%,0,3,23,42,20,0,119,92,70,6,36,30,0,0,0,850,47.22,1,2,0%,1,48,2,0,17,0,1,0,1,0,,,,,,,
54,Kristoffer Ajer,6,0,2,1,2,5,7,57%,0,1,7,21,8,1,23,32,20,4,11,10,0,0,0,157,26.17,0,4,25%,1,9,1,0,2,0,0,0,0,0,,,,,,,
55,Joshua Wilson-Esbrand,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,,,,,,,
56,Rúben Vinagre,35,0,14,11,2,22,44,61%,0,2,27,32,15,0,111,112,123,35,17,30,0,0,0,608,17.37,3,86,21%,1,16,2,0,21,1,0,0,0,0,,,,,,,
57,Charlie Goode,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,,,,,,,
58,Craig Cathcart,157,5,49,70,30,224,226,69%,5,8,179,888,356,4,601,589,400,17,304,247,4,4,1,"4,799",30.57,3,15,27%,1,457,19,0,69,0,4,0,1,0,,,,,,,
59,Christian Kabasele,95,4,27,47,16,122,119,63%,2,11,127,458,250,3,287,431,307,14,251,160,1,0,2,"2,468",25.98,1,12,25%,0,200,9,3,90,0,3,1,0,0,,,,,,,
60,Alex Telles,9,0,7,2,1,11,14,50%,0,1,16,18,15,0,45,36,36,3,17,14,0,0,2,458,50.89,1,55,22%,1,14,0,0,4,1,0,0,0,1,,,,,,,
61,Serge Aurier,77,5,40,19,16,75,217,65%,1,11,104,190,117,0,396,517,443,79,167,148,1,1,12,"3,118",40.49,17,264,16%,2,85,4,2,102,10,2,2,1,0,,,,,,,
62,Pascal Struijk,32,1,14,13,7,41,57,61%,0,4,54,95,46,1,151,125,109,4,56,57,0,0,0,"1,512",47.25,0,1,100%,0,70,4,1,30,0,1,0,0,0,,,,,,,
63,Shea Charles,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,,,,,,,
64,Pablo Marí,14,0,7,5,5,12,22,59%,0,1,13,48,27,0,55,64,45,3,36,28,0,0,0,821,58.64,1,0,0%,0,30,3,0,11,0,0,0,0,0,,,,,,,
65,Ben Wilmot,2,0,1,1,0,2,0,0%,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,9,4.50,0,0,0%,0,3,0,0,0,0,0,0,0,0,,,,,,,
66,Dujon Sterling,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,,,,,,,
67,Matt Targett,115,2,41,46,27,140,210,59%,0,11,187,247,117,1,491,483,385,36,164,139,1,1,9,"4,063",35.33,17,417,24%,10,268,15,0,73,2,1,0,1,1,,,,,,,
68,Jonny,75,3,29,21,15,78,181,57%,0,18,122,89,39,0,354,397,410,65,79,104,0,2,3,"2,344",31.25,3,109,17%,2,55,10,0,64,7,0,3,0,1,,,,,,,
69,Çaglar Söyüncü,70,2,33,20,18,79,104,64%,1,2,85,290,148,1,343,367,236,25,202,119,0,3,1,"4,426",63.23,2,17,29%,0,182,8,1,62,2,2,0,0,0,,,,,,,
70,Marc Navarro,2,0,1,1,0,2,4,50%,0,0,0,2,0,0,4,5,4,1,0,2,0,0,0,23,11.50,0,5,20%,0,1,0,0,1,0,0,0,0,0,,,,,,,
71,Nigel Lonwijk,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,,,,,,,
