,Name,Appearances,Goals,Wins,Losses,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Hit woodwork,Big chances missed,Assists,Passes,Passes per match,Big Chances Created,Crosses,Yellow cards,Red cards,Fouls,Offsides,Tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Accurate long balls,Aerial battles lost,Aerial battles won,Cross accuracy %,Duels lost,Duels won,Errors leading to goal,Recoveries,Successful 50/50s,Tackle success %,Through balls
0,Emmanuel Longelo,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
1,Ayoze Pérez,203,43,69,88,0.21,6,31,6,1,0,305,127,42%,7,26,14,"3,892",19.17,26,218,11,1,212,53,270,71,146,101,43,,,,,,,,,,,
2,Sadio Mané,236,99,142,42,0.42,12,60,27,0,0,557,232,42%,16,86,36,"7,254",30.74,57,349,24,3,276,149,278,122,114,66,36,,,,,,,,,,,
3,Raúl Jiménez,93,35,39,29,0.38,9,22,4,6,0,272,92,34%,8,24,15,"2,506",26.95,29,61,9,0,102,63,58,63,52,87,67,,,,,,,,,,,
4,Dwight Gayle,139,26,32,74,0.19,3,16,7,2,2,177,66,37%,5,28,7,"1,315",9.46,6,69,8,1,83,37,63,44,27,43,26,,,,,,,,,,,
5,Steven Bergwijn,38,4,20,9,0.11,0,4,0,0,0,31,13,42%,1,6,5,720,18.95,2,27,5,0,28,1,26,7,7,16,1,,,,,,,,,,,
6,Yoshinori Muto,25,1,3,16,0.04,0,0,1,0,0,7,3,43%,0,2,0,145,5.8,0,5,1,0,15,5,11,1,5,3,2,,,,,,,,,,,
7,Hélder Costa,48,4,17,21,0.08,0,1,3,0,0,42,13,31%,0,6,5,750,15.63,3,71,3,0,41,9,43,14,12,10,6,,,,,,,,,,,
8,Theo Walcott,371,78,184,104,0.21,3,63,12,0,0,647,278,43%,19,82,54,"5,922",15.96,62,983,10,0,114,171,240,146,164,84,31,,,,,,,,,,,
9,Adalberto Peñaranda,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
10,Odsonne Édouard,4,2,1,1,0.50,0,0,2,0,0,7,4,57%,1,1,0,42,10.50,0,0,0,0,1,0,1,1,0,3,2,,,,,,,,,,,
11,Lewis Dobbin,2,0,1,0,2,0,0,0,0,0,0,0,0%,0,0,0,4,2.00,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,
12,Tammy Abraham,89,26,36,33,0.29,3,20,1,0,0,164,68,41%,3,30,5,922,10.36,7,32,2,0,56,39,25,31,12,55,45,,,,,,,,,,,
13,Ignacio Pussetto,7,0,1,4,0.00,0,0,0,0,0,0,0,0%,0,0,0,29,4.14,0,4,1,0,3,0,7,0,3,3,1,,,,,,,,,,,
14,Marcus Rashford,179,55,96,33,0.31,4,43,8,6,1,379,167,44%,10,50,30,"4,115",22.99,32,294,16,1,114,79,92,95,43,79,40,,,,,,,,,,,
15,Dane Scarlett,1,0,1,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
16,Divock Origi,101,19,61,17,0.19,6,11,2,0,0,96,41,43%,5,10,6,917,9.08,3,71,1,0,47,26,37,22,8,12,5,,,,,,,,,,,
17,Leonardo Campana,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
18,Cristiano Ronaldo,200,87,134,29,0.43,9,49,10,11,9,558,208,37%,14,2,34,"3,652",18.26,0,428,27,4,55,46,68,163,42,62,5,,,,,,,,,,,
