,Name,Appearances,Clean sheets,Wins,Losses,Saves,Penalties Saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Goals Conceded,Errors leading to goal,Own goals,Yellow cards,Red cards,Fouls,Goals,Assists,Passes,Passes per match,Accurate long balls
0,Scott Carson,146,30,45,66,435,4,66,161,164,23,495,"1,387",225,10,1,6,1,4,0,2,"2,732",18.71,832
1,James Trafford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
2,John Ruddy,121,25,33,56,392,2,51,177,76,69,494,"1,103",191,12,0,3,1,1,0,0,"2,594",21.44,739
3,Nathan Shepperd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
4,Illan Meslier,42,12,17,17,168,1,29,31,4,14,342,326,66,2,1,1,0,1,0,0,"1,315",31.31,190
5,Aston Oxborough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
6,Hugo Lloris,305,107,174,70,834,5,186,235,102,263,"1,421","2,201",329,19,0,3,0,3,0,0,"7,723",25.32,"1,772"
7,Elia Caprile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
8,Jamie Cumming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
9,Darren Randolph,34,7,12,15,91,1,9,33,8,16,102,285,61,5,0,1,0,0,0,0,900,26.47,324
10,Akos Onodi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
11,Oliwier Zych,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
12,Jon McCracken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
13,Nathan Bishop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
14,Patrik Gunnarsson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
15,Robert Sánchez,34,13,11,11,79,0,6,37,3,8,151,227,32,1,0,4,0,2,0,0,"1,267",37.26,234
16,Lovre Kalinic,,,,,,,,,,,,,,,,,,,,,,,
