,Name,Appearances,Goals,Wins,Losses,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Hit woodwork,Big chances missed,Assists,Passes,Passes per match,Big Chances Created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Tackles,Tackle success %,Blocked shots,Interceptions,Clearances,Headed Clearance,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Errors leading to goal
0,Juan Mata,271,52,143,62,0.19,2,7,43,3,8,367,137,37%,11,29,54,"11,665",43.04,69,"1,112",24%,91,647,19,1,135,104,197,71%,100,135,66,6,"1,109",624,907,175,23,70,1
1,Ethan Galbraith,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
2,Lukas Rupp,17,0,2,13,0.00,0,0,0,0,0,10,2,20%,0,1,0,383,22.53,1,5,20%,2,7,1,0,14,0,19,63%,3,18,6,3,70,39,71,6,6,17,0
3,Imran Louza,1,0,0,1,0.00,0,0,0,0,0,0,0,0%,0,0,0,14,14.00,0,2,0%,0,0,0,0,0,0,1,0%,0,1,1,1,2,3,2,1,1,1,0
4,Tom Dele-Bashiru,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
5,Jaden Philogene-Bidace,2,0,2,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,6,3.00,0,0,0%,0,0,0,0,0,1,0,0%,0,0,0,0,1,1,3,0,0,0,0
6,Kgaogelo Chauke,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
7,Ruben Loftus-Cheek,110,10,40,36,0.09,2,7,1,0,0,115,29,25%,1,11,7,"2,628",23.89,10,25,28%,8,60,4,0,68,9,82,63%,37,51,57,38,379,526,533,174,111,167,0
8,Jairo Riedewald,64,2,17,33,0.03,0,0,2,0,0,12,2,17%,0,1,0,"1,158",18.09,2,12,33%,1,47,4,0,28,0,60,57%,5,59,55,22,176,112,100,25,19,18,0
9,Cole Palmer,1,0,1,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,14,14.00,0,2,0%,0,0,0,0,1,0,1,100%,0,0,0,0,1,1,3,0,0,0,0
10,Romain Saïss,86,7,34,32,0.08,5,1,1,0,0,68,27,40%,2,10,1,"4,168",48.47,5,36,19%,1,320,21,1,104,3,135,70%,9,145,325,179,433,469,335,23,269,166,1
11,Josh Brownhill,50,0,14,22,0.00,0,0,0,0,0,46,8,17%,1,1,1,"1,735",34.70,0,30,27%,1,54,7,0,48,2,69,59%,15,97,64,29,278,224,196,26,90,78,0
